Date,Close,High,Low,Open,Volume
2000-01-03,1.389174461364746,1.4060430159660038,1.389174461364746,1.389174461364746,585600
2000-01-04,1.3560987710952759,1.3789208799698212,1.3560987710952759,1.3759441037318392,782400
2000-01-05,1.3560987710952759,1.3560987710952759,1.3395612304731659,1.3395612304731659,1876800
2000-01-06,1.3560987710952759,1.3891746093795794,1.3560987710952759,1.3560987710952759,792000
2000-01-07,1.4057120084762573,1.4126578505422527,1.3726365520419936,1.3726365520419936,5347200
2000-01-10,1.5214766263961792,1.5214766263961792,1.4884011709919118,1.4884011709919118,2980800
2000-01-11,1.5247846841812134,1.5313999862452188,1.5115545532033925,1.5214772697243057,326400
2000-01-12,1.5396682024002075,1.5545522727160481,1.5247842267143767,1.5280920186990303,5068800
2000-01-13,1.5909355878829956,1.5909355878829956,1.5909355878829956,1.5909355878829956,120000
2000-01-14,1.6207035779953003,1.6207035779953003,1.5945739611055494,1.5945739611055494,3484800
2000-01-17,1.653779149055481,1.653779149055481,1.6207036872007925,1.6207036872007925,230400
2000-01-18,1.6041661500930786,1.6372419983664441,1.597551321106546,1.6372419983664441,3724800
2000-01-19,1.597550868988037,1.607804220072542,1.5876281551662432,1.6041656961025257,1872000
2000-01-20,1.5876282453536987,1.5876282453536987,1.5876282453536987,1.5876282453536987,748800
2000-01-21,1.5545525550842285,1.587628399078434,1.5545525550842285,1.587628399078434,144000
2000-01-24,1.5876282453536987,1.6041657872294195,1.5545524045621164,1.5545524045621164,705600
2000-01-25,1.5876282453536987,1.5876282453536987,1.5876282453536987,1.5876282453536987,0
2000-01-26,1.5743974447250366,1.5743974447250366,1.5743974447250366,1.5743974447250366,196800
2000-01-27,1.5876282453536987,1.6041657872294195,1.5876282453536987,1.6041657872294195,686400
2000-01-28,1.5876282453536987,1.5876282453536987,1.5876282453536987,1.5876282453536987,211200
2000-01-31,1.5876282453536987,1.5876282453536987,1.5876282453536987,1.5876282453536987,0
2000-02-01,1.5545525550842285,1.5545525550842285,1.5545525550842285,1.5545525550842285,148800
2000-02-02,1.4884016513824463,1.5677830917155158,1.4884016513824463,1.5677830917155158,739200
2000-02-03,1.4884016513824463,1.5214771174620183,1.4718637290826033,1.4718637290826033,4382400
2000-02-04,1.544629454612732,1.544629454612732,1.488401253030265,1.488401253030265,345600
2000-02-07,1.6207035779953003,1.6207035779953003,1.5545522802232332,1.5545522802232332,81600
2000-02-08,1.714969277381897,1.714969277381897,1.620703770928101,1.620703770928101,1036800
2000-02-09,1.6868549585342407,1.7331604528746591,1.6868549585342407,1.6901624668071236,6081600
2000-02-10,1.5876282453536987,1.686855010688305,1.5876282453536987,1.686855010688305,3969600
2000-02-11,1.5046082735061646,1.5876281281159776,1.5046082735061646,1.5876281281159776,43200
2000-02-14,1.485093593597412,1.5049389264801152,1.485093593597412,1.5049389264801152,278400
2000-02-15,1.5214766263961792,1.5214766263961792,1.422249881663385,1.4850933794134904,158400
2000-02-16,1.5214766263961792,1.5214766263961792,1.5214766263961792,1.5214766263961792,470400
2000-02-17,1.4884016513824463,1.4884016513824463,1.4884016513824463,1.4884016513824463,9600
2000-02-18,1.4884016513824463,1.4884016513824463,1.4884016513824463,1.4884016513824463,28800
2000-02-21,1.4884016513824463,1.4884016513824463,1.488070635542772,1.4884016513824463,52800
2000-02-22,1.4553252458572388,1.4553252458572388,1.4553252458572388,1.4553252458572388,422400
2000-02-23,1.4884016513824463,1.5214771174620183,1.4553258067827604,1.5214771174620183,792000
2000-02-24,1.4718632698059082,1.4884011869452989,1.4718632698059082,1.4884011869452989,340800
2000-02-25,1.4553252458572388,1.4553252458572388,1.4553252458572388,1.4553252458572388,38400
2000-02-28,1.4222502708435059,1.4387881923310206,1.4222502708435059,1.4387881923310206,81600
2000-02-29,1.3494840860366821,1.418942804884889,1.3494840860366821,1.418942804884889,465600
